scope,model,N,SEA,AURC,E_AURC,sel_acc@cov0.2,sel_acc@cov0.5,sel_acc@cov0.8,cov@thr0.8,acc@thr0.8,hc_err@thr0.8,cov@thr0.9,acc@thr0.9,hc_err@thr0.9,cov@thr0.95,acc@thr0.95,hc_err@thr0.95,util@thr0.9_lam1,util@thr0.9_lam2,worst_cat_sel_acc@cov0.5
TruthfulQA,Qwen2.5-32B-Instruct,240,0.6666666666666666,0.3156836437910079,0.2526615881556977,0.7708333333333334,0.6916666666666667,0.65625,0.9791666666666666,0.6638297872340425,0.3361702127659575,0.1625,0.717948717948718,0.28205128205128205,0.07083333333333333,0.6470588235294118,0.3529411764705882,0.07083333333333333,0.025,0.4166666666666667
TruthfulQA,Qwen2.5-7B,240,0.5645833333333333,0.42613918694208197,0.3134742424163715,0.5625,0.5833333333333334,0.5572916666666666,0.9875,0.5654008438818565,0.4345991561181435,0.5833333333333334,0.5642857142857143,0.4357142857142857,0.22083333333333333,0.5283018867924528,0.4716981132075472,0.075,-0.17916666666666667,0.4166666666666667
TruthfulQA,Qwen2.5-7B-Instruct,240,0.6125,0.355827078812316,0.2685799358638047,0.7291666666666666,0.6333333333333333,0.5989583333333334,0.9875,0.6118143459915611,0.38818565400843885,0.1375,0.696969696969697,0.303030303030303,0.075,0.7222222222222222,0.2777777777777778,0.05416666666666667,0.0125,0.3333333333333333
TruthfulQA,Qwen2.5-Math-7B-Instruct,240,0.4625,0.5234652746099355,0.3398975624689836,0.5208333333333334,0.48333333333333334,0.4583333333333333,0.8416666666666667,0.4504950495049505,0.5495049504950495,0.5125,0.4959349593495935,0.5040650406504066,0.3125,0.4266666666666667,0.5733333333333333,-0.004166666666666667,-0.2625,0.25
TruthfulQA,s1.1-7B,240,0.6208333333333333,0.3940419594117745,0.31082339152396243,0.5416666666666666,0.6,0.6354166666666666,0.9416666666666667,0.6283185840707964,0.37168141592920356,0.42916666666666664,0.5825242718446602,0.41747572815533984,0.2875,0.6231884057971014,0.37681159420289856,0.07083333333333333,-0.10833333333333334,0.4166666666666667
CSQA,Bespoke-Stratos-7B,240,0.5875,0.349205366486947,0.24918591094016954,0.6458333333333334,0.65,0.625,0.9916666666666667,0.5882352941176471,0.4117647058823529,0.7833333333333333,0.6276595744680851,0.37234042553191493,0.7375,0.632768361581921,0.36723163841807904,0.2,-0.09166666666666666,0.5
CSQA,Claude 3.5 Haiku,240,0.43333333333333335,0.5609029693705766,0.3566131582406012,0.4583333333333333,0.4166666666666667,0.4270833333333333,1.0,0.43333333333333335,0.5666666666666667,0.9625,0.42424242424242425,0.5757575757575757,0.8791666666666667,0.41706161137440756,0.5829383886255924,-0.14583333333333334,-0.7,0.25
CSQA,DeepSeek-R1-Distill-Qwen-7B,240,0.55,0.38578608731048036,0.2640299002771116,0.6458333333333334,0.6,0.5729166666666666,0.8958333333333334,0.5627906976744186,0.4372093023255814,0.5875,0.5815602836879432,0.4184397163120568,0.5208333333333334,0.592,0.40800000000000003,0.09583333333333334,-0.15,0.25
CSQA,JiuZhang3.0-7B,240,0.5333333333333333,0.4298925156939068,0.2116081246976635,0.6041666666666666,0.5583333333333333,0.5390625,0.3875,0.5913978494623656,0.4086021505376344,0.3625,0.5977011494252874,0.4022988505747126,0.30416666666666664,0.5753424657534246,0.4246575342465754,0.07083333333333333,-0.075,0.375
CSQA,Llama-3.1-8B-Instruct,240,0.4666666666666667,0.5449107179207402,0.3672451672298422,0.4791666666666667,0.4583333333333333,0.453125,0.9833333333333333,0.4745762711864407,0.5254237288135593,0.7166666666666667,0.436046511627907,0.563953488372093,0.13333333333333333,0.4375,0.5625,-0.09166666666666666,-0.49583333333333335,0.3333333333333333
